no,Tgl_Iklan,url,harga_juta,Kota,LT,LB,KT,KM,KTP,KMP,carport,garasi,listrik,surat,judul,deskripsi
1,6/5/2021,https://www.rumah123.com/properti/makassar/hos8395049/,748,Makassar,73,60,3,2,0,0,1,0,2200,SHM,"RUMAH KLASIK HARGA MENARIK, DEKAT BANDARA SULTAN HASANUDDIN DAN JALAN TOLL","Ini bukan di eropa yahh...
ini Rumah klasik yg kini hadir di kota makassar

Anda berminat memiliki rumah ini??
ayoo segera ikutan NUP

Harga masih 700an jt lohh

segera hubungi:
marketing executive
Resky Property Makassar
.085298297272"
2,6/5/2021,https://www.rumah123.com/properti/makassar/hos8392211/,6900,Makassar,350,1125,6,7,1,1,1,1,4400,SHM,Rumah Modern Artistik 4 1/2 Lantai,"Rumah Dijual Makassar Water Heater Sentral
11 unit AC
Semi Furnished
SHM

"
3,6/4/2021,https://www.rumah123.com/properti/makassar/hos8388986/,2500,Makassar,180,182,5,4,1,1,2,0,2200,SHM,Hanya 12 Unit Rumah Mewah Lokasi Premium,"*Tipe AQUAMARINE*Cluster Blue Aqua Citraland Tallasa City Makassar

Jl Jalur Lingkar Barat. Akses Tol dan Poros Perintis

Aquamarine A ( 3 Master Bedroom 4+1)
Aquamarine B ( 2 Master Bedroom 5+1)
LT : 180 / LB : 182
- Harga Mulai 2.5M
- Dilengkapi Fasilitas Club House, Gedung Serbaguna & Masjid
- Waterpark Ciputra
- Sekolah Citra Kasih
- Universitas Bina Nusantara
- Singapore International School"
4,6/3/2021,https://www.rumah123.com/properti/makassar/hos8382796/,350,Makassar,72,36,2,1,0,0,0,0,1300,SHM,"hunian cantik dan asri,minimalis,bebas riba","Promo Rumah di Jalan Poros, Lokasi Printis Kemerdekaan 3 Samping Kampus Unhas dan PNUP.
Dekat Mall MTOS
Dekat Dinas Pendidikan
Dekat Rumah Sakit Unhas dan Wahidin
#Berkas KK dan KTP aja (Berlaku Umum).
#Tanpa_BI_Checking
#Tanpa_Sita
#Tanpa_Penalty
#Tanpa_Denda
#Angsuran_Flat
Promo Cash rumah 2 lantai 160/120 (4KT, 4KM), luas tanah 8x15m. Hanya 1M 317jt. Sisa 2 unit.
DP 617jt, angsuran 9.500.000/bulan (10 tahun).
Promo cash rumah 1 lantai tipe 90/144 (4KT, 2KM), Luas tanah 13x12x10m. Hanya 788jt. Sisa 1 unit. DP 258 JT, angsuran 7.500.000/bulan (10 tahun)
Promo cash rumah 1 lantai tipe 60/84 (3KT, 1KM), Luas tanah 6x14m. Hanya 657jt. Sisa 1 unit. DP 207 JT, angsuran 5.500.000/bulan (10 tahun)
Promo cash rumah 2 lantai tipe 80/60 (3KT, 2KM), luas tanah 4x15m, Hanya 657jt. Sisa 5 Unit. DP 207 JT, angsuran 5jt/bulan (10 tahun)
Promo cash rumah tipe 45/72 (2KT, 1KM), luas tanah 6,5x12x5m, Hanya 397jt. Sisa 2 Unit.
DP 137j"
5,6/3/2021,https://www.rumah123.com/properti/makassar/hos8382190/,1000,Makassar,102,225,3,2,0,0,0,0,2200,SHM,"Rumah siap huni, full perabot, 2,5 lantai, langsung huni","Rumah Dijual Makassar jual cepat, nego

rumah siap huni
full perabot dan elektronik
kulkas 2 pintu
TV, AC,
dinding full wallpaper
3 kamar tidur ukuran besar
sofa, lemari pakaian dan spring bed
balkon lantai 2 sangat luas
lantai 3 ruang jemur dan cuci"
6,6/3/2021,https://www.rumah123.com/properti/makassar/hos8381868/,825,Makassar,120,84,2,1,0,0,0,0,2200,SHM,"rumah asri, tanjung bunga, cluster the clove, 1 lantai","Rumah Dijual Makassar The Clove Residence
Tanjung Bunga
"
7,6/3/2021,https://www.rumah123.com/properti/makassar/hos8381780/,3950,Makassar,153,180,4,4,1,1,0,0,2200,SHM,Green City B Sungai Saddang Luas tanah 9m x 17m Luas total bangunan +- 180 m persegi. * Kamar tidur ada 4 plus 1 k Tidur pembantu. 1 k. Tidur utama ygluas berlantai lapis kayu km mandi dalam di lantai atas.,"Green City B Sungai Saddang
Luas tanah 9m x 17m
Luas total bangunan +- 180 m persegi.
* Kamar tidur ada 4 plus 1 k Tidur pembantu.
1 k. Tidur utama ygluas berlantai lapis kayu km mandi dalam di lantai atas.
2 kamar tidur di lantai atas dn 1 km mandi.
1 kamar tidur di lantai bawah dn 1km mandi.
1 kamar tidur pembantu di lantai bawah dn km mandi
Total ada 5 kamar tidur. *k.mandi total ada 5.
1 di dalam k. Tidur utama. 1 di lantai atas, 1 di lantai bawah 2 lagi k.mandi kecil untuk pembantu dan tamu
* Ruang jemur ada di lantai atas belakang.
*Parkir bisa untuk 2 mobil.
Ada halaman belakang untuk taman.
*Sdh trpasang instalasi untuk tv, AC, air panas
*Air ada PAM plus sumur bor.
Tandon air di atas dan ada 2 pompa air. *Listrik 2.200 Watt
Rp. 3.95 Mlyr

Subscribe dan Lihat Stock ter Update dan Property Terbaik Yang bisa Anda Miliki..

Youtube Channel ;
https://www.youtube.com/channel/UC8b0dD7TLPdJt5kK2B9QR8g

INSTAGRAM ;
Rumah_Property_Makassar
https://www.instagram.com/invites/contact/?i=1nc4xtezidfct utm_con"
8,6/3/2021,https://www.rumah123.com/properti/makassar/hos8381718/,2581,Makassar,180,182,3,2,1,1,0,0,2200,SHM,Rumah Mewah Citraland Tallasa city type Aquamarine,"Rumah Dijual Makassar Rumah Mewah Dekat Jl. Perintis kemerdekaan .
bisa diakses dr Jl. Tol Ir. Sutami dan jl. perintis.
dekat bandara
dekat pelabuhan
dekat rumah sakit Wahidin
dekat kampus Unhas
dekat pusat perkantoran dan bisnis
"
9,6/2/2021,https://www.rumah123.com/properti/makassar/hos8380893/,2000,Makassar,153,200,4,3,1,1,1,1,3300,SHM,RUMAH MEWAH (LUAS 9 X 17) DEKAT KANTOR DPRD & TOL LAYANG PETTARANI PANAKKUKANG,"DIPASARKAN RUMAH MEWAH TENGAH KOTA MAKASSAR.

Type 210/153 (9 x 17)
5 KT, 4 KM sdh ada carport dan GARASI

Full renovasi

Harga 2 M Nett, Pajak masing masing

Lokasi premium, jln Hertasning Lama, dekat TOL LAYANG PETTARANI

Keamanan 24 jam dan BEBAS BANJIR

STOK HANYA 1 UNIT."
10,6/2/2021,https://www.rumah123.com/properti/makassar/hos8380891/,450,Makassar,90,60,2,2,0,0,1,0,1300,SHM,RUMAH SIAP HUNI (6 X 15) DEKAT KAMPUS UNISMUH ALAUDDIN & UNM MALLENGKERI,"DIPASARKAN RUMAH SIAP HUNI TENGAH KOTA MAKASSAR

Type 60/90 (6 X 15)
2 KT, 2 KM
Full renov

Harga 450 juta nett, *TIDAK LAYANI NEGO*

Lokasi strategis *jln Sultan Alauddin Gunung Sari*,msuk samping pompa bensin. Dekat kampus UNISMUH dan UNM mallengkeri.

Sistem cluster dan BEBAS BANJIR

*HANYA 1 UNIT*

*Tdk layani share lokasi*

*Pembeli langsung, silahkan ketemu langsung utk tahu lokasi*"
